id,question,answer,intent,category,notes
879,Як пояснити термін домогосподарство очолюване жінкою,"Це домогосподарство, в якому доросла жінка є єдиною або основною постачальницею доходу та особою, яка приймає рішення.",female_headed_household_definition,соціальна політика;економіка;права жінок,
880,У чому полягає домогосподарство очолюване жінкою,"Це домогосподарство, в якому доросла жінка є єдиною або основною постачальницею доходу та особою, яка приймає рішення.",female_headed_household_definition,соціальна політика;економіка;права жінок,
881,Що означає поняття домогосподарства очолюваного жінкою,"Це домогосподарство, в якому доросла жінка є єдиною або основною постачальницею доходу та особою, яка приймає рішення.",female_headed_household_definition,соціальна політика;економіка;права жінок,
882,Дай визначення домогосподарства очолюваного жінкою,"Це домогосподарство, в якому доросла жінка є єдиною або основною постачальницею доходу та особою, яка приймає рішення.",female_headed_household_definition,соціальна політика;економіка;права жінок,
883,Що таке допоміжний рахунок,"Це офіційний рахунок, окремий, але пов’язаний із основними національними рахунками.",satellite_account_definition,економіка;фінанси,
884,Як пояснити термін допоміжний рахунок,"Це офіційний рахунок, окремий, але пов’язаний із основними національними рахунками.",satellite_account_definition,економіка;фінанси,
885,У чому полягає допоміжний рахунок,"Це офіційний рахунок, окремий, але пов’язаний із основними національними рахунками.",satellite_account_definition,економіка;фінанси,
886,Що означає поняття допоміжного рахунку,"Це офіційний рахунок, окремий, але пов’язаний із основними національними рахунками.",satellite_account_definition,економіка;фінанси,
887,Дай визначення допоміжного рахунку,"Це офіційний рахунок, окремий, але пов’язаний із основними національними рахунками.",satellite_account_definition,економіка;фінанси,
888,Що таке економічне зловживання?,"Це створення чи намагання створити умови, за яких особа потрапляє в економічну залежність від іншої особи, шляхом обмеження її доступу до ресурсів та контролю над ними та/або до незалежної економічної діяльності.",economic_abuse_definition,права людини;соціальна політика,
889,Як пояснити термін економічне зловживання,"Це створення чи намагання створити умови, за яких особа потрапляє в економічну залежність від іншої особи, шляхом обмеження її доступу до ресурсів та контролю над ними та/або до незалежної економічної діяльності.",economic_abuse_definition,права людини;соціальна політика,
890,У чому полягає економічне зловживання,"Це створення чи намагання створити умови, за яких особа потрапляє в економічну залежність від іншої особи, шляхом обмеження її доступу до ресурсів та контролю над ними та/або до незалежної економічної діяльності.",economic_abuse_definition,права людини;соціальна політика,
891,Що означає поняття економічного зловживання,"Це створення чи намагання створити умови, за яких особа потрапляє в економічну залежність від іншої особи, шляхом обмеження її доступу до ресурсів та контролю над ними та/або до незалежної економічної діяльності.",economic_abuse_definition,права людини;соціальна політика,
892,Дай визначення економічного зловживання,"Це створення чи намагання створити умови, за яких особа потрапляє в економічну залежність від іншої особи, шляхом обмеження її доступу до ресурсів та контролю над ними та/або до незалежної економічної діяльності.",economic_abuse_definition,права людини;соціальна політика,
893,Що таке економічне насильство?,"Це будь-яка дія чи поведінка, що завдає людині економічної шкоди. Економічне насильство може набувати різних форм, наприклад, вчинення майнової шкоди, обмеження доступу до фінансових ресурсів, освіти чи ринку праці або невиконання економічних зобовʼязань, як-то виплата аліментів.",economic_violence_definition,права людини;соціальна політика,"Механізми контролю можуть також включати контроль доступу потерпілого/ої до медичних послуг, працевлаштування тощо."
894,Як пояснити термін економічне насильство,"Це будь-яка дія чи поведінка, що завдає людині економічної шкоди. Економічне насильство може набувати різних форм, наприклад, вчинення майнової шкоди, обмеження доступу до фінансових ресурсів, освіти чи ринку праці або невиконання економічних зобовʼязань, як-то виплата аліментів.",economic_violence_definition,права людини;соціальна політика,
895,У чому полягає економічне насильство,"Це будь-яка дія чи поведінка, що завдає людині економічної шкоди. Економічне насильство може набувати різних форм, наприклад, вчинення майнової шкоди, обмеження доступу до фінансових ресурсів, освіти чи ринку праці або невиконання економічних зобовʼязань, як-то виплата аліментів.",economic_violence_definition,права людини;соціальна політика,
896,Що означає поняття економічного насильства,"Це будь-яка дія чи поведінка, що завдає людині економічної шкоди. Економічне насильство може набувати різних форм, наприклад, вчинення майнової шкоди, обмеження доступу до фінансових ресурсів, освіти чи ринку праці або невиконання економічних зобовʼязань, як-то виплата аліментів.",economic_violence_definition,права людини;соціальна політика,
897,Дай визначення економічного насильства,"Це будь-яка дія чи поведінка, що завдає людині економічної шкоди. Економічне насильство може набувати різних форм, наприклад, вчинення майнової шкоди, обмеження доступу до фінансових ресурсів, освіти чи ринку праці або невиконання економічних зобовʼязань, як-то виплата аліментів.",economic_violence_definition,права людини;соціальна політика,
898,Що таке екстрена контрацепція?,"Це метод контрацепції, що може використовуватись для запобігання вагітності у перші кілька днів після статевого акту.
Екстрена контрацепція ефективна лише в перші кілька днів після статевого акту – до того, як яйцеклітина вийде з яєчника і буде запліднена спермою. Препарати екстреної контрацепції не можуть перервати підтверджену вагітність або завдати шкоди ембріону, що розвивається.",emergency_contraception_definition,охорона здоров’я;репродуктивні права,"Передбачається для екстреного використання після незахищеного статевого акту у випадках, коли засоби контрацепції не спрацювали або їх було неправильно використано (наприклад, особа забула вжити таблетки або порвався презерватив), зґвалтування або примусового сексу."
899,Як пояснити термін екстрена контрацепція,"Це метод контрацепції, що може використовуватись для запобігання вагітності у перші кілька днів після статевого акту.
Екстрена контрацепція ефективна лише в перші кілька днів після статевого акту – до того, як яйцеклітина вийде з яєчника і буде запліднена спермою. Препарати екстреної контрацепції не можуть перервати підтверджену вагітність або завдати шкоди ембріону, що розвивається.",emergency_contraception_definition,охорона здоров’я;репродуктивні права,
900,У чому полягає екстрена контрацепція,"Це метод контрацепції, що може використовуватись для запобігання вагітності у перші кілька днів після статевого акту.
Екстрена контрацепція ефективна лише в перші кілька днів після статевого акту – до того, як яйцеклітина вийде з яєчника і буде запліднена спермою. Препарати екстреної контрацепції не можуть перервати підтверджену вагітність або завдати шкоди ембріону, що розвивається.",emergency_contraception_definition,охорона здоров’я;репродуктивні права,
901,Що означає поняття екстреної контрацепції,"Це метод контрацепції, що може використовуватись для запобігання вагітності у перші кілька днів після статевого акту.
Екстрена контрацепція ефективна лише в перші кілька днів після статевого акту – до того, як яйцеклітина вийде з яєчника і буде запліднена спермою. Препарати екстреної контрацепції не можуть перервати підтверджену вагітність або завдати шкоди ембріону, що розвивається.",emergency_contraception_definition,охорона здоров’я;репродуктивні права,
902,Дай визначення екстреної контрацепції,"Це метод контрацепції, що може використовуватись для запобігання вагітності у перші кілька днів після статевого акту.
Екстрена контрацепція ефективна лише в перші кілька днів після статевого акту – до того, як яйцеклітина вийде з яєчника і буде запліднена спермою. Препарати екстреної контрацепції не можуть перервати підтверджену вагітність або завдати шкоди ембріону, що розвивається.",emergency_contraception_definition,охорона здоров’я;репродуктивні права,
903,Що таке емансипація жінок?,"Це процес, стратегія та незліченні зусилля, що доклали жінки, прагнучи звільнитись від влади та контролю чоловіків і традиційних владних 
структур, а також забезпечити рівні права жінок, усунути ґендерну дискримінацію із законів, інституцій та поведінкових моделей і 
встановити правові стандарти, що сприятимуть їхній повній рівності з чоловіками.",women_emancipation_definition,права жінок;соціальна історія,
904,Як пояснити термін емансипація жінок,"Це процес, стратегія та незліченні зусилля, що доклали жінки, прагнучи звільнитись від влади та контролю чоловіків і традиційних владних 
структур, а також забезпечити рівні права жінок, усунути ґендерну дискримінацію із законів, інституцій та поведінкових моделей і 
встановити правові стандарти, що сприятимуть їхній повній рівності з чоловіками.",women_emancipation_definition,права жінок;соціальна історія,
905,У чому полягає емансипація жінок,"Це процес, стратегія та незліченні зусилля, що доклали жінки, прагнучи звільнитись від влади та контролю чоловіків і традиційних владних 
структур, а також забезпечити рівні права жінок, усунути ґендерну дискримінацію із законів, інституцій та поведінкових моделей і 
встановити правові стандарти, що сприятимуть їхній повній рівності з чоловіками.",women_emancipation_definition,права жінок;соціальна історія,
906,Що означає поняття емансипації жінок,"Це процес, стратегія та незліченні зусилля, що доклали жінки, прагнучи звільнитись від влади та контролю чоловіків і традиційних владних 
структур, а також забезпечити рівні права жінок, усунути ґендерну дискримінацію із законів, інституцій та поведінкових моделей і 
встановити правові стандарти, що сприятимуть їхній повній рівності з чоловіками.",women_emancipation_definition,права жінок;соціальна історія,
907,Дай визначення емансипації жінок,"Це процес, стратегія та незліченні зусилля, що доклали жінки, прагнучи звільнитись від влади та контролю чоловіків і традиційних владних 
структур, а також забезпечити рівні права жінок, усунути ґендерну дискримінацію із законів, інституцій та поведінкових моделей і 
встановити правові стандарти, що сприятимуть їхній повній рівності з чоловіками.",women_emancipation_definition,права жінок;соціальна історія,
908,Що таке емоційне насильство?,"Це применшення значущості, приниження або руйнування почуття власної цінності/самоповаги людини.",emotional_abuse_definition,права людини;психологія,"Наприклад, постійна критика, словесні образи, тощо."
909,Як пояснити термін емоційне насильство,"Це применшення значущості, приниження або руйнування почуття власної цінності/самоповаги людини.",emotional_abuse_definition,права людини;психологія,
910,У чому полягає емоційне насильство,"Це применшення значущості, приниження або руйнування почуття власної цінності/самоповаги людини.",emotional_abuse_definition,права людини;психологія,
911,Що означає поняття емоційного насильства,"Це применшення значущості, приниження або руйнування почуття власної цінності/самоповаги людини.",emotional_abuse_definition,права людини;психологія,
912,Дай визначення емоційного насильства,"Це применшення значущості, приниження або руйнування почуття власної цінності/самоповаги людини.",emotional_abuse_definition,права людини;психологія,
913,Що таке етика турботи?,"Це моральні орієнтири, що мають тенденцію бути ґендерованими і відмінними залежно від соціальних поділів за класовою та етнічною ознаками.",care_ethics_definition,філософія;соціальна етика,"Із структурної точки зору ці поділи не розглядаються, тобто жінки вважаються  такими, що покликані нести відповідальність за домашню та громадську роботу турботи. Така робота передбачає елемент самопожертви. Етику турботи слід переосмислити в рамках соціальних і глобальних інституцій, щоб вони уможливлювали стосунки турботи між людьми."
914,Як пояснити термін етика турботи,"Це моральні орієнтири, що мають тенденцію бути ґендерованими і відмінними залежно від соціальних поділів за класовою та етнічною ознаками.",care_ethics_definition,філософія;соціальна етика,
915,У чому полягає етика турботи,"Це моральні орієнтири, що мають тенденцію бути ґендерованими і відмінними залежно від соціальних поділів за класовою та етнічною ознаками.",care_ethics_definition,філософія;соціальна етика,
916,Що означає поняття етики турботи,"Це моральні орієнтири, що мають тенденцію бути ґендерованими і відмінними залежно від соціальних поділів за класовою та етнічною ознаками.",care_ethics_definition,філософія;соціальна етика,
917,Дай визначення етики турботи,"Це моральні орієнтири, що мають тенденцію бути ґендерованими і відмінними залежно від соціальних поділів за класовою та етнічною ознаками.",care_ethics_definition,філософія;соціальна етика,
918,Що таке жінка?,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
919,Хто є жінка?,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
920,Що означає жінка?,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
921,Як пояснити термін жінка,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
922,У чому полягає поняття жінки,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
923,Що означає слово жінка,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
924,Дай визначення жінки,"Це людська істота жіночої статі; особа, чия стать визначена як жіноча при народженні, чи особа, яка визначає себе як жінку",woman_definition,соціологія;права людини;культурні стандарти;ідентичність,
925,Що таке жінка без громадянства?,"Це жінка, яка відповідно до національного законодавства не має юридично оформленого громадянства жодної держави. 
Закони про громадянство можуть також прямо чи опосередковано дискримінувати жінок і піддавати їх більшою мірою, ніж чоловіків, ризику бути позбавленими громадянства.",stateless_woman_definition,права людини;міжнародне право,"Фактично становище «без громадянства» є особливо гострим питанням для жінок, наприклад, жертв торгівлі людьми, у яких, можливо, були конфісковані або викрадені документи, або жінок-мігранток без документів, включаючи осіб, які шукають притулку, котрі також не можуть довести своє громадянство і можуть бути фактично особами без громадянства."
926,Як пояснити термін жінка без громадянства,"Це жінка, яка відповідно до національного законодавства не має юридично оформленого громадянства жодної держави. 
Закони про громадянство можуть також прямо чи опосередковано дискримінувати жінок і піддавати їх більшою мірою, ніж чоловіків, ризику бути позбавленими громадянства.",stateless_woman_definition,права людини;міжнародне право,
927,У чому полягає статус жінки без громадянства,"Це жінка, яка відповідно до національного законодавства не має юридично оформленого громадянства жодної держави. 
Закони про громадянство можуть також прямо чи опосередковано дискримінувати жінок і піддавати їх більшою мірою, ніж чоловіків, ризику бути позбавленими громадянства.",stateless_woman_definition,права людини;міжнародне право,
928,Що означає поняття жінки без громадянства,"Це жінка, яка відповідно до національного законодавства не має юридично оформленого громадянства жодної держави. 
Закони про громадянство можуть також прямо чи опосередковано дискримінувати жінок і піддавати їх більшою мірою, ніж чоловіків, ризику бути позбавленими громадянства.",stateless_woman_definition,права людини;міжнародне право,
929,Дай визначення жінки без громадянства,"Це жінка, яка відповідно до національного законодавства не має юридично оформленого громадянства жодної держави. 
Закони про громадянство можуть також прямо чи опосередковано дискримінувати жінок і піддавати їх більшою мірою, ніж чоловіків, ризику бути позбавленими громадянства.",stateless_woman_definition,права людини;міжнародне право,
930,Що означає жінки в розвитку?,"Це підхід, що вимагає більшої уваги до жінок у політиках і практиках  розвитку та наголошує на необхідності інтегрувати їх у процес розвитку.",women_development_definition,міжнародний розвиток;гендерна політика,
931,Що таке жінки в розвитку,"Це підхід, що вимагає більшої уваги до жінок у політиках і практиках  розвитку та наголошує на необхідності інтегрувати їх у процес розвитку.",women_development_definition,міжнародний розвиток;гендерна політика,
932,Як пояснити термін жінки в розвитку,"Це підхід, що вимагає більшої уваги до жінок у політиках і практиках  розвитку та наголошує на необхідності інтегрувати їх у процес розвитку.",women_development_definition,міжнародний розвиток;гендерна політика,
933,У чому полягає концепція жінки в розвитку,"Це підхід, що вимагає більшої уваги до жінок у політиках і практиках  розвитку та наголошує на необхідності інтегрувати їх у процес розвитку.",women_development_definition,міжнародний розвиток;гендерна політика,
934,Дай визначення поняття жінки в розвитку,"Це підхід, що вимагає більшої уваги до жінок у політиках і практиках  розвитку та наголошує на необхідності інтегрувати їх у процес розвитку.",women_development_definition,міжнародний розвиток;гендерна політика,
935,Що таке жіноча стать?,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,"Слово «female» походить від латинського «femella», що є зменшувальним від слова «femina» або жінка. 
Часто помилково вважається, що воно походить від слова «male», що зустрічається у давньофранцузькій мові та походить від латинського «masculus» – зменшувального від «mas» (чоловічий)."
936,Дай визначення терміну жіноча стать,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,"Слово «female» походить від латинського «femella», що є зменшувальним від слова «femina» або жінка. 
Часто помилково вважається, що воно походить від слова «male», що зустрічається у давньофранцузькій мові та походить від латинського «masculus» – зменшувального від «mas» (чоловічий)."
937,Як пояснити термін жіноча стать,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,
938,У чому полягає жіноча стать,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,
939,Що означає поняття жіночої статі,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,
940,Дай визначення жіночої статі,Це відсилка до жіночої статі на основі біологічних ознак.,female_definition,біологія;соціальні науки,
941,Що таке жіноче підприємництво?,"Це варіант професійної зайнятості для жінок будь-якого віку, що передбачає започаткування та здійснення підприємницької діяльності.",womens_entrepreneurship_definition,економіка;права жінок,"Хоча жінок у Європі більше, ніж чоловіків, жінки-підприємиці становлять лише третину самозайнятих в ЄС. Існують деякі додаткові фактори (наприклад, поєднання бізнесу та сім’ї), що роблять підприємництво менш привабливим варіантом для жінок, ніж для чоловіків.  Під час створення та ведення бізнесу жінки також стикаються з такими викликами, як доступ до фінансів та інформації, навчання та доступ до мереж ділових контактів."
942,Як пояснити термін жіноче підприємництво,"Це варіант професійної зайнятості для жінок будь-якого віку, що передбачає започаткування та здійснення підприємницької діяльності.",womens_entrepreneurship_definition,економіка;права жінок,
943,У чому полягає жіноче підприємництво,"Це варіант професійної зайнятості для жінок будь-якого віку, що передбачає започаткування та здійснення підприємницької діяльності.",womens_entrepreneurship_definition,економіка;права жінок,
944,Що означає поняття жіночого підприємництва,"Це варіант професійної зайнятості для жінок будь-якого віку, що передбачає започаткування та здійснення підприємницької діяльності.",womens_entrepreneurship_definition,економіка;права жінок,
945,Дай визначення жіночого підприємництва,"Це варіант професійної зайнятості для жінок будь-якого віку, що передбачає започаткування та здійснення підприємницької діяльності.",womens_entrepreneurship_definition,економіка;права жінок,
946,Що таке жіноче тіло?,"Ключова концепція жіночих студій та феміністичної теорії з фокусом на темах контролю над жіночим тілом, тілесній різноманітності та критиці ґендерної дихотомії та есенціалізму",womans_body_definition,біологія;соціальні науки;культурні стандарти,"Дискурси щодо ґендеру впливають на тіла у різний спосіб, зокрема через інформування про зовнішність чи компетенції дівчат та хлопців, жінок та чоловіків, або через узагальнені наративи про анатомію, фізіологію й інші тілесні характеристики ґендеру."
947,Що означає жіноче тіло?,"Ключова концепція жіночих студій та феміністичної теорії з фокусом на темах контролю над жіночим тілом, тілесній різноманітності та критиці ґендерної дихотомії та есенціалізму",womans_body_definition,біологія;соціальні науки;культурні стандарти,"Дискурси щодо ґендеру впливають на тіла у різний спосіб, зокрема через інформування про зовнішність чи компетенції дівчат та хлопців, жінок та чоловіків, або через узагальнені наративи про анатомію, фізіологію й інші тілесні характеристики ґендеру."
948,Як пояснити термін жіноче тіло,"Ключова концепція жіночих студій та феміністичної теорії з фокусом на темах контролю над жіночим тілом, тілесній різноманітності та критиці ґендерної дихотомії та есенціалізму",womans_body_definition,біологія;соціальні науки;культурні стандарти,
949,У чому полягає поняття жіночого тіла,"Ключова концепція жіночих студій та феміністичної теорії з фокусом на темах контролю над жіночим тілом, тілесній різноманітності та критиці ґендерної дихотомії та есенціалізму",womans_body_definition,біологія;соціальні науки;культурні стандарти,
950,Дай визначення жіночого тіла,"Ключова концепція жіночих студій та феміністичної теорії з фокусом на темах контролю над жіночим тілом, тілесній різноманітності та критиці ґендерної дихотомії та есенціалізму",womans_body_definition,біологія;соціальні науки;культурні стандарти,
951,Що таке жіночий центр?,"Це спеціалізована  установа (організація), що надає жінкам, які постраждали від будь-якої форми насильства, та їхнім дітям, підтримку будь-якого типу, окрім надання житла, включаючи інформування, поради, консультації, практичну підтримку, супровід в судах, інформування щодо юридичних питань, проактивну підтримку та інформаційно-просвітницьку роботу.",womens_centre_definition,соціальна політика;права жінок;громадські організації,"Послуги, що надаються жіночими центрами, є надзвичайно важливими з різних причин: притулки для жінок існують не у всіх регіонах, а жіночі центри зорієнтовані головним чином на адвокацію та консультування. Деякі жінки можуть не потребувати житла в притулку, але їм потрібна підтримка, наприклад, для доступу до правосуддя."
952,Як пояснити термін жіночий центр,"Це спеціалізована  установа (організація), що надає жінкам, які постраждали від будь-якої форми насильства, та їхнім дітям, підтримку будь-якого типу, окрім надання житла, включаючи інформування, поради, консультації, практичну підтримку, супровід в судах, інформування щодо юридичних питань, проактивну підтримку та інформаційно-просвітницьку роботу.",womens_centre_definition,соціальна політика;права жінок;громадські організації,
953,У чому полягає діяльність жіночого центру,"Це спеціалізована  установа (організація), що надає жінкам, які постраждали від будь-якої форми насильства, та їхнім дітям, підтримку будь-якого типу, окрім надання житла, включаючи інформування, поради, консультації, практичну підтримку, супровід в судах, інформування щодо юридичних питань, проактивну підтримку та інформаційно-просвітницьку роботу.",womens_centre_definition,соціальна політика;права жінок;громадські організації,
954,Що означає поняття жіночого центру,"Це спеціалізована  установа (організація), що надає жінкам, які постраждали від будь-якої форми насильства, та їхнім дітям, підтримку будь-якого типу, окрім надання житла, включаючи інформування, поради, консультації, практичну підтримку, супровід в судах, інформування щодо юридичних питань, проактивну підтримку та інформаційно-просвітницьку роботу.",womens_centre_definition,соціальна політика;права жінок;громадські організації,
955,Дай визначення жіночого центру,"Це спеціалізована  установа (організація), що надає жінкам, які постраждали від будь-якої форми насильства, та їхнім дітям, підтримку будь-якого типу, окрім надання житла, включаючи інформування, поради, консультації, практичну підтримку, супровід в судах, інформування щодо юридичних питань, проактивну підтримку та інформаційно-просвітницьку роботу.",womens_centre_definition,соціальна політика;права жінок;громадські організації,
